Year,INDICATORS,Value
2022,Total Number of Patients Accepted ,38468
2022,Total Number of New Patients Accepted under Core Specialized Services,17615
2022,Medical Tourism Patients,323
2022,Inpatient Days,421148
2022,Bed Occupancy Rate (%),0.827
2022,Average Length of Stay (ALOS),8.97
2022,Number of Admitted Patients,47255
2022,Total Number of  Hospital Beds,2446
2022,Number of Regular Beds,1415
2022,Number of ICU Beds,355
2022,Total Number of inpatient Beds,1770
2022,Ambulatory beds,676
2022,Department of Emergency Medicine (DEM) Visits,151201
2022,Outpatient Visits,1743316
2022,Outpatient Visits under Core Specialized Services,457999
2022,Day Medical Procedures,32866
2022,Day Surgical procedures,10356
2022,Endoscopy Procedures,12255
2022,Cardiac Holding Unit (CHU) Procedures,4694
2022,Hemodialysis Sessions,71410
2022,Laboratory procedures                     ,36417850
2022,Radiology procedures,568728
2022,Inpatients/Outpatient Prescriptions ,4870691
2022,Mail order prescriptions ,88353
2022,Total Parenteral Nutrition (TPN),22671
2022,Administration of Biological Drugs,113751
2022,Total Surgeries,29742
2022,Total Cardiac Surgeries,2038
2022,Open Heart Surgeries,1352
2022,Same Day Admission (SDA),5726
2022,Catheterization Intervention (Adult/pediatric Patients),6120
2022,Trans-aortic Valve Implantation,86
2022,Electrophysiology (EP),802
2022,Cardiac Catheterization (Adult/pediatric Patients),17595
2022,Chimeric Antigen Receptor  (CAR) T-Cell Therapy,32
2022,Chemotherapy Sessions,116158
2022,Radiation Therapy Sessions,42116
2022,Preimplantation Genetic Diagnosis (PGD),527
2022,In Vitro Fertilization (IVF),1394
2022,Patients transferred to chronic care facility,663
2022,Hyperthermic intraperitoneal chemotherapy,91
2022,Liver Transplant,304
2022,Kidney Transplant,637
2022,Heart Transplant,21
2022,Lung Transplant,39
2022,Pancreas Transplant,11
2022,Intestine Transplant,4
2022,Total Solid Transplants,1016
2022,Liver,333
2022,Kidney ,70
2022,Cardiac/Thoracic,100
2022,Urology,171
2022,Gynecology,73
2022,General & Oncology,24
2022,Total Robotic Surgeries,771
2022,Epilepsy Surgeries,290
2022,Endovascular Stroke Reperfusion Therapies ,139
2022,Pituitary Gland Surgeries,63
2022,Tumor Surgeires,828
2022,Movement disorder surgeries,96
2022,Total,1416
2022,Long Term Monitoring (LTM),346
2022,Epilepsy Monitoring Unit (EMU),458
2022,Deep brain stimulation ,516
2022,Intraoperative NerophyisologyMonitoring (IOM) procedures,208
2022,Total,1528
2022,Home Renal Dialysis Visits,9175
2022,Mechanically Ventilated Patients Visits,362
2022,Other HHC Visits,23986
2022,Total Number of Visits,33523
2022,Home Renal Dialysis Patients,54
2022,Mechanically Ventilated Patients,40
2022,Other HHC Patients,1095
2022,Total Number of Patients,1189
2022,Wound Care,4301
2022,Intravenous Treatment,6134
2022,Blood Draw,3816
2022,Tracheostomy Tube change,321
2022,Gastric orifice tube change,145
2022,Central Line Care,908
2022,Total Number of Services,15625
2022,Patients Seen through Virtual Clinics,90033
2022,Outreach Laboratory Procedures,11091
2022,Educational and Training Activities -Health Outreach Services,123
2022,Educational Hours Approved by Saudi Commission for Health Specialties (SCFHS)- Health Outreach Services,658
2022,Attendees of Educational Activities -Health Outreach Services ,8627
2022,Total Number of New Patients Accepted in the OTCoE,3957
2022,Total number of outpatient visits by the OTCoE ,61633
2022,Total Number of New Patients Accepted in the Oncology Center,4627
2022,Total number of outpatient visits by the Oncology Center,230406
2022,Total number of  new accepted by the Heart Center ,3431
2022,Total number of outpatient visits by the Heart Center ,88845
2022,Total Number of New Patients Accepted in the Neuroscience Center,4411
2022,Total number of outpatient visits by the Neuroscience Center,50272
2022,Total Number of New Patients Accepted in the Genomic Center,1189
2022,Total number of outpatient visits by the Genomic Medicine,11944
2022,Virtual 3D,1020
2022,Surgical Planning & Modeling,266
2022,"Metallic, Orthotics & Prosthetics Printing",30
2022,Total activities-3D Printing Services,1316
